,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,30XoqT3eqbI5b6AwL6xeUs,0.19,0.629,0.671,0.942,9,0.158,-13.629,1,0.0443,164.057,4,0.827
1,7xiBXbFvDLUV5dEtsxxJn7,0.351,0.588,0.413,0.544,4,0.29,-18.448,1,0.0339,113.275,4,0.727
2,5nZnAVUt0w7UO8Wma9GabV,0.121,0.633,0.416,0.594,7,0.111,-13.802,0,0.0451,70.72,4,0.497
3,41NDVWdAb4YFMAaMB950zu,0.012,0.379,0.597,0.562,10,0.102,-14.509,1,0.0514,123.822,4,0.211
4,1oonbo3Pvx674ZmFATPEYh,0.0274,0.376,0.804,0.784,6,0.282,-8.591,0,0.076,163.231,4,0.607
5,4SLBvmUHVP3pApMH3KLANv,0.169,0.575,0.771,0.857,6,0.114,-11.106,0,0.0292,95.011,4,0.475
6,3IDIUeh6sT3sS4dZb8A6mu,0.0672,0.519,0.874,0.794,9,0.173,-7.156,0,0.0309,123.996,4,0.505
7,009ong0rDE08WyHJtHdo93,0.588,0.283,0.179,0.829,3,0.185,-16.953,1,0.037,102.857,4,0.121
8,4NmDFD6tMZ9xBUjjThWaGE,0.764,0.505,0.482,0.858,8,0.0809,-13.841,1,0.0355,107.275,4,0.704
9,1bCiZzRtnio2PipmMQCFEH,0.615,0.557,0.369,0.858,2,0.358,-17.155,1,0.0333,153.298,3,0.579
10,4JgCfj30F55qpiCmQ5i7tB,0.636,0.4,0.249,0.891,5,0.111,-18.575,1,0.0452,79.648,4,0.303
11,5HFP4XwNnXp1eipQ7poWA9,0.263,0.488,0.714,0.95,4,0.0746,-7.89,0,0.0635,135.328,4,0.588
12,5K2OdZPPqPa9Vk3urT7ARp,0.0903,0.512,0.718,0.152,10,0.318,-15.37,0,0.0402,106.56,4,0.819
13,0FGUAf9SNXetna5y1mOS2g,0.0365,0.497,0.616,0.866,10,0.11,-14.064,0,0.0456,133.569,4,0.759
14,0W8gQgpbzuZNBTehxZrrrW,0.0129,0.542,0.693,0.422,0,0.0756,-9.823,1,0.0714,110.809,4,0.79
15,2ZUxNUW8tW0gB6OKEXfPNi,0.00285,0.46,0.951,0.833,2,0.0523,-6.869,1,0.108,108.005,4,0.336
16,7mgm9jmP4z7ZUWfdKpm1Iz,0.036,0.708,0.547,0.615,1,0.0553,-13.352,1,0.0441,108.983,4,0.764
17,7azVVRrxiVpnySTMS6Z0v6,0.0458,0.321,0.872,0.891,0,0.0735,-8.423,1,0.0591,140.812,4,0.637
18,54oflLHirMCfTifxUJNOPW,0.0412,0.613,0.737,0.252,9,0.507,-8.852,0,0.0351,140.931,4,0.901
19,3OxRrekfQYXm93IP3LshuP,0.0127,0.441,0.884,0.699,11,0.212,-10.695,0,0.0442,159.029,4,0.871
20,0tpFhxGw58OjSNhpIg2ff2,0.194,0.585,0.731,0.786,9,0.215,-7.77,1,0.0342,116.326,4,0.697
21,1603BngWRzTY1vVzGZupLS,0.316,0.701,0.352,0.906,2,0.145,-17.05,1,0.0356,103.723,4,0.814
22,15TaTyTbMStgdXZm3gRb97,0.0425,0.501,0.643,0.692,1,0.077,-14.929,0,0.0521,113.449,4,0.942
23,2xoqOPsYOCotpn4OKL0kYd,0.0311,0.451,0.878,0.123,2,0.144,-7.734,1,0.0686,131.497,4,0.566
24,1wCAWMpHHD6111MxCu9VEx,0.0137,0.58,0.776,0.774,4,0.0825,-15.153,1,0.0422,101.944,4,0.971
25,5XfUJP0pfuYC4AA1FrWlZE,0.0904,0.404,0.939,0.7,0,0.658,-11.339,1,0.0449,147.201,4,0.628
26,65ZiAre1veL6CmkZR11ktg,0.433,0.608,0.51,0.00133,0,0.0644,-12.494,1,0.0368,155.549,4,0.491
27,6SSJOW1xNXwMj9Zw9vyjMP,0.432,0.538,0.672,0.784,2,0.186,-13.508,1,0.0356,127.824,4,0.607
28,5cguSM8YxXkeqcJxOUfs6X,0.0341,0.603,0.715,0.704,4,0.0754,-7.418,1,0.0274,94.875,4,0.178
29,5wtjZ0PkGw8rTpPLSVo1j2,0.00828,0.435,0.722,0.796,2,0.184,-7.536,1,0.0341,139.713,4,0.159
30,5ZBAlRjOAvVdnvWgRrQZN9,0.592,0.64,0.0559,0.886,2,0.228,-17.152,0,0.0374,103.699,4,0.145
31,2z0oFzlbhJIrdnqBrzmBmx,0.534,0.403,0.464,0.0287,5,0.107,-9.753,0,0.0326,129.066,4,0.389
32,1MNmigGvyjasNQE4VJ6o0m,0.0896,0.667,0.425,0.375,2,0.114,-11.753,1,0.0305,112.788,4,0.276
33,2l0PcVO1IU8PwUNxC8FHTk,0.0146,0.587,0.736,0.0168,4,0.0905,-5.265,0,0.0308,126.477,4,0.655
34,48KOOAdYu7qQh1VBAUK0dl,0.000287,0.621,0.76,0.377,1,0.0586,-7.08,1,0.0443,123.894,4,0.799
35,3ZR92gYcydi4CcDBBJjl3r,0.0056,0.238,0.833,0.804,0,0.801,-9.633,0,0.171,168.433,4,0.542
36,7LrAG6E9l4DKklQwqA8uY3,0.152,0.778,0.712,0.216,7,0.0575,-4.902,0,0.0296,120.098,4,0.375
37,07fbg4bPBrrJuojd7GeeEb,0.42,0.46,0.696,0.801,8,0.0982,-9.629,0,0.0369,132.692,4,0.518
38,6qyIpsXNZRPVp6Jx9hqPQe,0.0243,0.634,0.567,0.623,11,0.112,-14.94,1,0.0304,130.045,4,0.457
39,5p8hmIsVKXuofghim8Va9m,0.23,0.773,0.623,0.658,0,0.0739,-9.097,1,0.189,78.183,4,0.927
40,05UlwWUFHHtSjk3AFH71T3,0.0183,0.701,0.473,0.00534,2,0.116,-12.292,1,0.0764,112.834,4,0.864
41,1ofBYd6dx9nv8eiYAcROFA,0.188,0.306,0.507,0.92,5,0.339,-11.897,1,0.0446,106.582,4,0.229
42,2cua7RzxDHaau6eY40JJct,0.00147,0.4,0.731,0.867,0,0.225,-9.729,0,0.0582,118.619,4,0.312
43,7LiqDJqBEd30pR29BfK74y,0.0134,0.539,0.917,0.65,5,0.144,-6.738,0,0.0445,91.681,4,0.863
44,2uaCFk4sPCT5oy24nrUtFE,0.488,0.652,0.511,0.735,2,0.568,-8.613,1,0.0298,100.012,4,0.503
45,0ks0i0cf6f2e6c0RVLSZuK,0.0168,0.333,0.735,0.69,11,0.19,-11.017,0,0.0388,159.918,4,0.483
46,7yhtPK8W6EZ4ccCsyO8UPP,1.05e-05,0.439,0.595,0.855,0,0.118,-15.873,1,0.0453,187.682,4,0.854
47,0TbuxvDu8OOpFEL9I4e87w,0.00147,0.311,0.488,0.888,8,0.264,-10.944,1,0.0353,171.577,4,0.352
48,7M6vyvf2iByhXCg9qHTrk8,0.000166,0.319,0.936,0.305,9,0.958,-5.357,1,0.187,156.144,4,0.456
