,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,02Zkkf2zMkwRGQjZ7T4p8f,0.133,0.638,0.634,1.23e-06,4,0.152,-6.582,1,0.0457,96.953,4,0.519
1,1bDbXMyjaUIooNwFE9wn0N,0.0503,0.561,0.52,1.86e-06,11,0.355,-9.342,0,0.244,153.15,3,0.424
2,3nqQXoyQOWXiESFLlDF1hG,0.013,0.714,0.472,4.51e-06,2,0.266,-7.375,1,0.0864,131.121,4,0.238
3,5CM4UuQ9Gnd6K2YyKGPMoK,0.626,0.686,0.507,7.51e-05,1,0.383,-7.097,1,0.0357,168.955,4,0.69
4,4LRPiXqCikLlN15c3yImP7,0.342,0.52,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662
5,46s57QULU02Voy0Kup6UEb,0.0127,0.908,0.546,0,8,0.0707,-10.491,0,0.323,131.016,4,0.225
6,4uUG5RXrOk84mYEfFvj3cK,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
7,35ovElsgyAtQwYPYnZJECg,0.899,0.247,0.299,0,9,0.131,-6.083,1,0.0315,177.115,4,0.172
8,2ZL7WZcjuYKi1KUDtp4kCC,0.01,0.773,0.701,0,7,0.163,-6.386,1,0.0512,129.963,4,0.203
9,34tz0eDhGuFErIuW3q4mPX,0.0201,0.841,0.358,0,9,0.39,-8.368,1,0.591,158.014,4,0.329
10,4C6Uex2ILwJi9sZXRdmqXp,0.0645,0.95,0.891,1.77e-05,2,0.309,-2.653,1,0.241,133.01,4,0.912
11,2Ch7LmS7r2Gy2kc64wv3Bz,0.111,0.582,0.525,0,1,0.134,-7.163,0,0.0627,133.249,4,0.51
12,5uU1uuyaUIBOiiUSQG7Wl3,0.252,0.731,0.85,0,9,0.605,-4.913,1,0.0336,119.706,4,0.644
13,7GeTsDIc5ykNB6lORO6Cee,0.0102,0.734,0.605,0,1,0.317,-8.476,1,0.0699,103.976,4,0.252
14,2KLwPaRDOB87XOYAT2fgxh,0.0623,0.749,0.63,0,4,0.353,-6.652,0,0.116,122.03,4,0.445
15,0O6u0VJ46W86TxN9wgyqDj,0.121,0.733,0.67,0,5,0.121,-6.009,1,0.0751,100.964,4,0.472
16,5IgjP7X4th6nMNDh4akUHb,0.0635,0.733,0.69,1.18e-06,9,0.105,-5.529,0,0.0427,116.992,4,0.31
17,0hquQWY3xvYqN4qtiquniF,0.0777,0.801,0.601,3.23e-05,8,0.145,-7.574,0,0.255,159.969,4,0.74
18,3WMj8moIAXJhHsyLaqIIHI,0.555,0.369,0.192,8.35e-06,4,0.0954,-12.151,0,0.04,175.212,3,0.148
19,1xzi1Jcr7mEi9K2RfzLOqS,0.0368,0.78,0.689,9.69e-06,7,0.0698,-5.668,1,0.141,115.042,4,0.642
20,4g2c7NoTWAOSYDy44l9nub,0.204,0.735,0.444,0.0012,10,0.17,-10.519,1,0.0684,97.038,4,0.0984
21,7l2nxyx7IkBX5orhkALg0V,0.00274,0.934,0.614,0,5,0.123,-7.384,1,0.198,144.045,4,0.616
22,3cBsEDNhFI9E82vPj3kvi3,0.373,0.505,0.657,0.00107,11,0.126,-5.24,0,0.0318,196.0,3,0.252
23,4h9wh7iOZ0GGn8QVp4RAOB,0.0826,0.704,0.797,0.000745,0,0.0546,-5.927,1,0.0475,139.994,4,0.825
24,0bYg9bo50gSsH3LtXe2SQn,0.164,0.336,0.627,0,7,0.0708,-7.463,1,0.0384,150.273,4,0.35
25,0wshkEEcJUQU33RSRBb5dv,0.0407,0.849,0.433,0,5,0.388,-8.434,0,0.316,142.11,4,0.395
26,3F5CgOj3wFlRv51JsHbxhe,0.000307,0.529,0.673,2.41e-06,0,0.093,-4.711,1,0.175,165.921,4,0.366
27,4h4QlmocP3IuwYEj2j14p8,0.352,0.768,0.714,0,10,0.15,-5.11,1,0.0401,131.443,4,0.842
28,7KXVIAuw3m2hxZanrpSXS3,0.0695,0.791,0.818,0,0,0.114,-3.93,1,0.406,159.922,4,0.693
29,59nOXPmaKlBfGMDeOVGrIK,0.314,0.463,0.642,0,1,0.0686,-4.474,1,0.34,83.389,4,0.339
30,200x8ONbPfFzByUr3fVz46,0.124,0.607,0.912,0,8,0.332,-3.449,1,0.0611,134.944,4,0.722
31,1IHWl5LamUGEuP4ozKQSXZ,0.0993,0.65,0.715,0.000291,5,0.126,-5.198,0,0.253,106.672,4,0.187
32,6Nl7KyvjkFncGsjB49SxLl,0.71,0.636,0.377,6.51e-05,0,0.115,-11.721,1,0.0708,139.966,4,0.23
33,45pUWUeEWGoSdH6UF162G8,0.0104,0.642,0.533,0.000108,2,0.251,-7.45,1,0.266,120.041,4,0.112
34,0jvo9CjnbR0lYUDTSNTMiu,0.0661,0.7,0.55,0.000102,7,0.091,-9.13,1,0.0653,164.003,4,0.412
35,48UKTR66uUOT9LaUvooTNx,0.0226,0.608,0.745,6.47e-06,1,0.0942,-4.13,1,0.0277,102.025,4,0.464
36,0sSRLXxknVTQDStgU1NqpY,0.234,0.501,0.403,0,6,0.267,-11.106,0,0.119,118.352,4,0.111
37,1PckUlxKqWQs3RlWXVBLw3,0.0995,0.836,0.743,0,10,0.335,-6.305,0,0.0656,108.966,4,0.722
38,199E1RRrVmVTQqBXih5qRC,0.0593,0.658,0.378,0,7,0.0976,-8.3,1,0.0379,108.034,4,0.0382
39,0QHEIqNKsMoOY5urbzN48u,0.345,0.838,0.525,1.92e-06,10,0.0771,-3.562,1,0.0665,144.981,4,0.884
40,2EjXfH91m7f8HiJN1yQg97,0.614,0.589,0.472,0,8,0.505,-8.749,1,0.0502,67.196,4,0.898
41,6GD1eomgaGT1Epto6Q5eAo,0.651,0.511,0.594,0.177,1,0.249,-4.799,0,0.0316,94.473,3,0.143
42,1brnLTvarI9D1hLP6z2Ar8,0.695,0.738,0.455,0,3,0.107,-8.735,1,0.0352,99.945,4,0.441
43,1yvMUkIOTeUNtNWlWRgANS,0.112,0.468,0.779,0.000373,9,0.101,-4.839,1,0.0779,173.799,4,0.26
44,5oqDgw5VGBln5dSIOPWyBq,0.074,0.649,0.622,0,8,0.594,-7.054,1,0.0582,90.024,4,0.106
45,72yP0DUlWPyH8P7IoxskwN,0.0746,0.667,0.75,0.000198,0,0.197,-4.602,1,0.0906,126.041,4,0.486
46,4FyesJzVpA39hbYvcseO2d,0.0652,0.486,0.545,0.00474,11,0.0642,-7.924,1,0.0336,150.187,4,0.0385
47,7gVWKBcfIW93YxNBi3ApIE,0.416,0.694,0.38,8.47e-06,2,0.126,-10.307,1,0.0614,120.044,4,0.376
48,6ADDIJxxqzM9LMpm78yzQG,0.735,0.659,0.323,0.00321,9,0.116,-13.425,1,0.0436,110.007,4,0.154
49,7vQbuQcyTflfCIOu3Uzzya,0.643,0.754,0.424,0,2,0.0652,-8.463,1,0.0363,119.705,4,0.806
50,7trjNYF5ek7zX4GKSHQZbP,0.277,0.534,0.466,0,6,0.0979,-6.98,1,0.0272,140.0,4,0.23
51,2ZlABhxMMa43COmZ97kKsJ,0.221,0.799,0.575,0,6,0.196,-6.257,0,0.282,99.026,4,0.319
52,11kskoMyNDumaR30CI6rRv,0.00683,0.575,0.842,0,7,0.279,-5.058,1,0.0348,111.995,4,0.665
53,5gVCfYmQRPy1QJifP8f5gg,0.451,0.524,0.643,0,9,0.221,-6.055,1,0.0297,135.962,4,0.397
54,34ZAzO78a5DAVNrYIGWcPm,0.146,0.824,0.453,0.0273,3,0.0896,-9.604,0,0.0968,119.959,4,0.552
55,0T5iIrXA4p5GsubkhuBIKV,0.727,0.539,0.508,0,10,0.174,-6.05,1,0.0288,101.358,3,0.227
56,4686eQ81DEswHa90bcdlC9,0.577,0.582,0.568,0,1,0.105,-7.3,1,0.0275,121.991,3,0.394
57,4Flfb4fGscN9kXPOduQLrv,0.0782,0.746,0.517,0,10,0.137,-7.582,0,0.327,88.987,4,0.609
58,0QNNd0qMCDbraS1nQPg3aA,0.142,0.821,0.636,0,11,0.233,-4.479,1,0.169,127.961,4,0.163
59,6HBRLaSQ7NB8MNlaqzYen1,0.105,0.675,0.726,0,2,0.153,-6.459,1,0.0461,124.872,4,0.671
60,4svaKoxMMP7ImmKrD5hfQu,0.00655,0.586,0.556,0,6,0.0836,-7.639,1,0.0592,167.018,4,0.517
61,5yeuXkukVGuix3vmLu2BPJ,0.16,0.87,0.279,1.74e-05,4,0.121,-11.134,0,0.364,79.996,4,0.16
62,25VQoiuyc0HkC5FQTj1a8G,0.0419,0.365,0.541,2.25e-06,7,0.281,-7.489,1,0.0304,86.041,4,0.329
63,38T0tPVZHcPZyhtOcCP7pF,0.148,0.637,0.715,0,2,0.0892,-4.971,0,0.0455,141.872,4,0.308
64,6C7OF1Jal7YkyjzyUG8vkK,0.226,0.751,0.502,0,7,0.297,-8.777,1,0.162,108.989,4,0.112
65,1vscizuuPwkwC1cc5N5KQV,0.0115,0.529,0.858,2.91e-05,9,0.345,-6.015,1,0.0536,156.129,4,0.676
66,410TZrK18uRjtsTunG14cl,0.18,0.466,0.703,0,4,0.422,-5.774,0,0.393,76.815,3,0.25
67,1xK59OXxi2TAAAbmZK0kBL,0.453,0.571,0.544,0.00805,6,0.322,-10.613,1,0.0299,132.052,4,0.216
68,29YW2xXlo6Pc6M0SBTCXYN,0.0405,0.704,0.504,0.000422,1,0.139,-6.749,1,0.223,82.537,4,0.0713
69,56hioFjQ0DXrdn04hZcFgG,0.571,0.661,0.352,0.00147,4,0.0884,-14.077,1,0.117,125.934,4,0.13
70,27ZZdyTSQWI7Cug2d2PkqV,0.115,0.9,0.509,1.67e-06,1,0.0937,-6.647,1,0.257,100.007,4,0.765
71,26hOm7dTtBi0TdpDGl141t,0.383,0.472,0.518,0.127,8,0.289,-7.379,1,0.051,147.805,4,0.154
72,43q586vP8gGkYypKoSddhl,0.791,0.487,0.313,0.348,0,0.124,-15.434,1,0.0487,110.039,4,0.141
73,6Tm4Io4ct4w14nB1EUzsY3,7.02e-05,0.479,0.768,0.00549,8,0.121,-5.204,1,0.0312,110.024,4,0.576
74,2mzM4Y0Rnx2BDZqRnhQ5Q6,0.442,0.562,0.463,0.000145,6,0.157,-7.478,1,0.0787,125.15,5,0.416
75,6ug9fUi5oLLgQgOF1G8WkM,0.00361,0.738,0.666,0,5,0.107,-6.97,0,0.455,161.734,4,0.215
76,3zmwONxswBAzGwExPugSLN,0.967,0.334,0.161,4.71e-05,0,0.115,-14.875,1,0.0506,176.747,4,0.396
77,6qzBOV7lg2pnYm1tIvjxo3,0.00299,0.494,0.667,0,7,0.0815,-4.632,1,0.263,88.028,5,0.179
78,5JhUm1v5AbI5Yu6jLKCPRO,0.121,0.594,0.527,0,0,0.234,-9.335,1,0.0335,172.712,4,0.692
79,0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,7,0.146,-6.508,1,0.119,157.979,4,0.55
80,31bsuKDOzFGzBAoXxtnAJm,0.499,0.385,0.34,1.2e-05,7,0.196,-11.754,1,0.051,83.947,4,0.0398
81,0WtM2NBVQNNJLh6scP13H8,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802
82,3XgGQ1wjo5khvq2UImjyNF,0.428,0.617,0.378,9.16e-05,9,0.11,-8.54,1,0.0315,141.967,4,0.22
83,5BbdKBZO0TH0GhfxUfyhL9,0.217,0.877,0.517,0,2,0.143,-5.426,0,0.0706,119.996,4,0.255
84,1tRxwf8Q0AcshfHuaD86Yt,0.171,0.52,0.751,7.4e-06,5,0.0624,-5.064,1,0.0551,156.044,4,0.519
85,5ZCjp56T8J6d7amJyFSzrI,0.148,0.587,0.632,1.01e-05,9,0.158,-5.416,1,0.0311,139.974,4,0.392
86,73vIOb4Q7YN6HeJTbscRx5,0.0128,0.587,0.742,0.00107,6,0.146,-6.64,0,0.0529,145.007,4,0.199
87,3HGnIIdHYIbkowzLk8UHbE,0.289,0.678,0.528,0,10,0.0734,-7.317,1,0.0551,79.018,4,0.614
88,5LYMamLv12UPbemOaTPyeV,0.258,0.72,0.715,0.0568,11,0.107,-4.652,1,0.04,107.041,4,0.357
89,7xNYZeFtrB05pi9tc6lEeb,0.0387,0.472,0.701,0,2,0.107,-4.563,1,0.0369,79.805,4,0.515
90,13VvjrXWYzG9lWViL8Y9vM,0.0166,0.701,0.562,1.2e-05,1,0.352,-8.915,1,0.0381,84.994,4,0.354
91,5ww2BF9slyYgNOk37BlC4u,0.583,0.835,0.679,1.98e-06,7,0.218,-5.329,0,0.0364,124.98,4,0.85
92,1T4k0sw0HldDg004Kw4Oct,0.414,0.462,0.251,0,4,0.201,-12.072,0,0.159,89.705,3,0.137
93,2PDgArI0p7UkeYgXWuqpmh,0.131,0.795,0.565,0,3,0.0802,-4.457,0,0.0948,87.925,4,0.55
94,1MTXYvJ9TSqg9x6WPCDx2n,0.0533,0.475,0.692,6.49e-06,1,0.18,-8.327,1,0.398,181.167,4,0.241
95,3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,2.23e-05,5,0.0842,-8.987,1,0.0353,96.016,4,0.554
96,3K9IrLs25jHtvWjAAFAfav,0.55,0.699,0.679,0,9,0.0816,-4.528,1,0.0556,102.919,4,0.56
97,5uSFGgIfHMT3osrAd9n9ym,0.296,0.669,0.742,0,1,0.355,-3.518,0,0.0441,101.982,4,0.716
98,67AdiJcurlf6gocGobfaXs,0.538,0.565,0.56,0,6,0.0961,-6.034,1,0.0275,159.931,4,0.325
99,0BiqmkasE5FdrChwKfVp8X,0.826,0.422,0.235,0.00648,6,0.115,-12.379,1,0.0568,165.71,4,0.068
