,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0fBKIPr3NYlBim2AK9Mnhw,0.0102,0.402,0.94,0.641,4,0.433,-4.262,1,0.0512,86.31,4,0.591
1,0U4fCnCEuoz5WAPg7faZRZ,0.0351,0.791,0.696,7.13e-05,0,0.304,-14.616,1,0.0812,106.787,4,0.809
2,3uJ8zHRASayItvcSRh8TIm,0.527,0.728,0.467,2.4e-05,5,0.0416,-7.394,1,0.0501,101.536,4,0.584
3,3irG6mHKFdP9nKrbvKeuR2,0.121,0.434,0.788,0.751,2,0.205,-11.465,1,0.0381,148.735,4,0.596
4,4jUUKEEDdU5yY51170HPJy,0.849,0.454,0.111,0.0484,11,0.108,-15.877,1,0.03,76.689,4,0.342
5,0scrtPmtlIVwwk9s4LXJ8n,0.195,0.367,0.472,0,9,0.0874,-11.902,1,0.0689,179.686,4,0.761
6,5Hn7uZqDarw5VTNX1XluV3,0.773,0.4,0.348,0.78,7,0.0889,-15.4,0,0.037,157.808,4,0.331
7,23MrozKHCPdWCTZggpc56B,0.742,0.571,0.881,1.49e-05,7,0.288,-8.133,1,0.151,157.336,4,0.919
8,1sRPgBBpTU32HsokTUTf5D,0.575,0.527,0.491,0.021,5,0.194,-13.552,0,0.0388,113.206,4,0.591
9,0vOgMuqEoLlRFSWQwCe7lP,0.0334,0.397,0.433,0.881,7,0.159,-14.452,0,0.043,106.704,4,0.467
10,7ledv9CTjqdwnvHgRmETyZ,0.792,0.784,0.451,4.09e-05,8,0.115,-11.225,0,0.0723,100.303,4,0.78
11,7sOBuRK26Ov7CR5fRSR7Om,0.0597,0.556,0.547,0.788,9,0.107,-13.264,1,0.0284,141.437,4,0.817
