,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,5Oofib2akyImgsSDSC6aVn,0.0403,0.644,0.886,0,5,0.281,-4.687,0,0.109,126.928,4,0.572
1,3bWYui3ElpPYeOGM8Gmws2,0.000369,0.484,0.756,0,11,0.115,-6.948,0,0.16,102.825,5,0.39
2,2hM1BhWGjxCNZvRLtmz7bC,0.00272,0.623,0.704,0,11,0.112,-5.317,0,0.11,92.0,4,0.465
3,6x2LumpJ1W5PFFnZEPNTwB,0.0142,0.893,0.786,2.29e-06,4,0.0589,-7.402,1,0.0613,124.962,4,0.671
4,4nPk1gSs64kCQWhLNKswlJ,0.154,0.723,0.555,0,4,0.0974,-7.729,1,0.159,141.913,4,0.474
5,6CAMtiroLS3SOMWbHh9Zzc,0.0657,0.312,0.868,0,3,0.341,-5.375,0,0.0762,87.296,4,0.251
6,4pbLOnGQHyobxBM6uB4rvA,0.0478,0.586,0.594,0,1,0.0946,-6.421,0,0.335,110.347,5,0.212
7,0CpLNO56aPUBQ8roB4ufSa,0.00101,0.88,0.674,0,2,0.28,-7.857,1,0.333,130.972,4,0.584
8,4c7mwtU8HGuLUVqRX5HU7F,0.0173,0.854,0.703,2.4e-06,1,0.109,-7.127,1,0.285,95.957,4,0.681
9,5Aiqhkbb8HLgbKVg0noeKI,0.0622,0.454,0.876,0,11,0.204,-6.12,0,0.393,193.44,4,0.569
10,2AMFqw4VoOkSEmOT12VDib,0.0797,0.614,0.812,0,0,0.114,-6.074,1,0.62,190.048,4,0.693
11,1NWrba8Z3yuLdralWHn7Xk,0.0466,0.871,0.607,7.16e-05,10,0.0662,-6.745,1,0.0927,124.983,4,0.934
12,50z72yqCcEZHDAvpoGQRtE,0.135,0.565,0.828,0,10,0.0924,-7.669,0,0.345,72.742,4,0.619
13,6wwAaPoX7Ce81Rn85Ntm89,0.0577,0.927,0.33,1.19e-05,1,0.177,-11.088,1,0.39,98.949,4,0.251
14,0nSsI7f2BJRXJUeNisWUWL,0.00655,0.631,0.935,0,1,0.101,-2.221,1,0.0869,143.424,4,0.346
15,7cIqzYC3UcEwUAzlRYIt2F,0.0172,0.596,0.8,2.27e-05,1,0.355,-4.897,0,0.338,193.861,4,0.567
16,7kfTqGMzIHFWeBeOJALzRf,0.365,0.636,0.566,0.000353,6,0.0917,-7.16,0,0.106,151.894,4,0.425
17,4kqluSwcQs3kqfK82ZrB93,0.0125,0.57,0.58,0,10,0.0497,-5.547,0,0.209,171.917,4,0.405
18,2Zb7wnGUnNPCas2E0wWSQ5,0.127,0.788,0.859,0,1,0.348,-5.542,1,0.315,140.027,4,0.769
19,3FFcZZq3Z3EJrhUecwcMdG,0.000402,0.364,0.841,0,8,0.242,-4.831,1,0.119,100.14,5,0.0837
20,4WSWEpUkx2StGNlbSzqu7o,0.0539,0.828,0.425,0,10,0.329,-6.895,0,0.132,92.997,4,0.23
21,4MVIUDItVUE29y6TMSsCqg,0.218,0.603,0.857,0,9,0.304,-6.179,0,0.318,173.717,4,0.773
22,608a1wIsSd5KzMEqm1O7w3,0.0536,0.413,0.807,0,11,0.631,-3.499,0,0.318,149.33,4,0.438
